Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.214309	0.300332	92.484000	90.100000	
0.100000	0.213210	0.327423	92.622000	89.060000	
0.100000	0.214484	0.524134	92.578000	84.300000	
0.100000	0.213993	0.344552	92.484000	88.620000	
0.100000	0.215926	0.318519	92.404000	89.870000	
0.100000	0.215671	0.326311	92.522000	89.460000	
0.100000	0.209341	0.416238	92.588000	86.750000	
0.100000	0.214734	0.310743	92.544000	90.210000	
0.100000	0.209723	0.346531	92.728000	88.880000	
0.100000	0.208831	0.329146	92.656000	89.520000	
0.100000	0.212798	0.416268	92.556000	87.430000	
0.100000	0.203140	0.359063	92.932000	88.870000	
0.100000	0.208613	0.397829	92.764000	87.380000	
0.100000	0.208041	0.384563	92.910000	88.070000	
0.100000	0.204416	0.285802	92.896000	90.710000	
0.100000	0.206957	0.323737	92.640000	89.640000	
0.100000	0.205255	0.455244	92.764000	86.470000	
0.100000	0.202507	0.322748	93.026000	89.930000	
0.100000	0.201369	0.349948	92.950000	88.960000	
0.100000	0.203718	0.394621	92.860000	87.900000	
0.100000	0.202816	0.413781	92.902000	87.360000	
0.100000	0.203384	0.316071	92.970000	89.990000	
0.100000	0.199312	0.410690	93.022000	87.440000	
0.100000	0.209342	0.338164	92.736000	89.430000	
0.100000	0.198973	0.433934	93.102000	86.840000	
0.100000	0.211190	0.400950	92.540000	87.700000	
0.100000	0.196195	0.418421	93.172000	87.000000	
0.100000	0.201717	0.417784	92.924000	87.210000	
0.100000	0.197910	0.322003	93.076000	89.950000	
0.100000	0.199464	0.312118	93.066000	89.830000	
0.100000	0.197669	0.345905	93.088000	89.060000	
0.100000	0.194722	0.349484	93.144000	88.850000	
0.100000	0.197508	0.349282	93.174000	89.290000	
0.100000	0.197335	0.344044	93.034000	89.840000	
0.100000	0.198398	0.340610	93.044000	89.450000	
0.100000	0.197496	0.328381	92.968000	89.470000	
0.100000	0.197331	0.349600	93.114000	89.050000	
0.100000	0.191677	0.293073	93.378000	90.560000	
0.100000	0.198126	0.327084	93.118000	89.480000	
0.100000	0.192499	0.434848	93.276000	87.110000	
0.100000	0.197766	0.385765	92.984000	88.120000	
0.100000	0.191973	0.298755	93.338000	90.510000	
0.100000	0.191499	0.351513	93.424000	89.350000	
0.100000	0.196216	0.386461	93.138000	88.120000	
0.100000	0.189988	0.396102	93.332000	87.690000	
0.100000	0.192111	0.336826	93.214000	89.520000	
0.100000	0.191199	0.306234	93.326000	90.170000	
0.100000	0.189906	0.346625	93.384000	89.130000	
0.100000	0.185612	0.370141	93.556000	88.440000	
0.100000	0.195280	0.329254	93.154000	89.740000	
0.100000	0.192585	0.329115	93.246000	89.410000	
0.100000	0.187532	0.323400	93.476000	89.750000	
0.100000	0.191832	0.311267	93.242000	90.580000	
0.100000	0.186168	0.324494	93.528000	89.770000	
0.100000	0.190672	0.355350	93.310000	88.830000	
0.100000	0.191714	0.338321	93.216000	89.210000	
0.100000	0.188850	0.344989	93.484000	89.080000	
0.100000	0.185825	0.379114	93.476000	88.700000	
0.100000	0.191549	0.335802	93.274000	88.890000	
0.100000	0.186956	0.366439	93.442000	88.600000	
0.100000	0.186250	0.328787	93.474000	89.410000	
0.100000	0.184594	0.390534	93.508000	88.020000	
0.100000	0.186913	0.327259	93.528000	89.840000	
0.100000	0.182475	0.403371	93.680000	88.610000	
0.100000	0.184759	0.355231	93.512000	89.030000	
0.100000	0.187643	0.322145	93.478000	90.080000	
0.100000	0.189255	0.327681	93.296000	89.850000	
0.100000	0.188024	0.360226	93.380000	88.720000	
0.100000	0.180227	0.406307	93.664000	88.040000	
0.100000	0.188520	0.357793	93.358000	88.470000	
0.100000	0.186920	0.450213	93.514000	87.310000	
0.100000	0.184707	0.295248	93.480000	90.240000	
0.100000	0.187427	0.289457	93.538000	90.780000	
0.100000	0.183040	0.368592	93.442000	88.660000	
0.100000	0.185056	0.380276	93.582000	88.200000	
0.100000	0.186688	0.340842	93.444000	89.460000	
0.100000	0.184569	0.389228	93.578000	88.040000	
0.100000	0.180991	0.344452	93.738000	89.330000	
0.100000	0.187319	0.351745	93.422000	89.640000	
0.100000	0.184061	0.333230	93.470000	89.680000	
0.100000	0.179196	0.311621	93.730000	90.240000	
0.100000	0.186691	0.276823	93.368000	91.380000	
0.100000	0.180245	0.312534	93.760000	90.450000	
0.100000	0.178246	0.358028	93.760000	88.820000	
0.100000	0.182286	0.371344	93.590000	88.070000	
0.100000	0.177778	0.316644	93.748000	89.820000	
0.100000	0.184083	0.352138	93.542000	89.050000	
0.100000	0.183877	0.318941	93.558000	89.960000	
0.100000	0.182476	0.327853	93.570000	89.440000	
0.100000	0.181302	0.357571	93.606000	88.890000	
