Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.810321	1.737025	75.145996	58.139999	
0.100000	0.775790	1.585447	76.346001	60.539997	
0.100000	0.780018	1.626018	76.045998	61.279999	
0.100000	0.770666	1.681372	76.325996	58.480000	
0.100000	0.769002	1.650110	76.276001	59.399998	
0.100000	0.758424	1.741938	76.523994	57.849998	
0.100000	0.758022	1.674067	76.823997	59.029999	
0.100000	0.737643	1.583452	77.171997	61.109997	
0.100000	0.735328	1.669966	77.187996	58.869999	
0.100000	0.723477	1.566154	77.659996	61.419998	
0.100000	0.716429	1.830283	77.879997	57.399998	
0.100000	0.711066	1.745536	77.809998	58.879997	
0.100000	0.701400	1.641277	78.444000	60.709999	
0.100000	0.692618	1.702096	78.425995	59.309998	
0.100000	0.689723	1.546755	78.515999	61.139999	
0.100000	0.691821	1.993208	78.439995	57.199997	
0.100000	0.679323	1.694114	78.653999	59.459999	
0.100000	0.677658	1.734578	78.645996	59.199997	
0.100000	0.666779	1.722987	79.222000	58.919998	
0.100000	0.669584	1.689574	79.042000	60.099998	
0.100000	0.670690	2.038280	79.201996	55.889999	
0.100000	0.664587	1.664502	79.153999	60.709999	
0.100000	0.648499	1.587525	79.741997	62.189999	
0.100000	0.650411	1.682640	79.526001	60.570000	
0.100000	0.643031	1.733492	79.855995	59.570000	
0.100000	0.646870	1.727824	79.939995	60.009998	
0.100000	0.633806	1.616369	80.139999	62.119999	
0.100000	0.633676	1.658843	80.201996	61.059998	
0.100000	0.634373	1.650910	79.945999	60.730000	
0.100000	0.634334	1.581063	80.279999	61.829998	
0.100000	0.620426	1.573567	80.430000	63.219997	
0.100000	0.619635	1.717795	80.500000	60.250000	
0.100000	0.607163	1.579506	80.916000	61.840000	
0.100000	0.607820	1.711298	80.785995	60.239998	
0.100000	0.611225	1.698961	80.636002	60.369999	
0.100000	0.606287	1.633760	80.781998	61.469997	
0.100000	0.603325	1.726360	80.970001	61.239998	
0.100000	0.598284	1.644749	81.119995	61.899998	
0.100000	0.587528	1.565062	81.475998	62.219997	
0.010000	0.301684	1.151414	90.879997	71.549995	
0.010000	0.215567	1.176560	93.575996	71.549995	
0.010000	0.184589	1.200141	94.547997	71.790001	
0.010000	0.161266	1.212386	95.283997	71.830002	
0.010000	0.145519	1.240107	95.797997	71.830002	
0.010000	0.133765	1.253589	96.189995	71.849998	
0.010000	0.122865	1.273819	96.481995	71.889999	
0.010000	0.116085	1.297050	96.619995	71.830002	
0.010000	0.106315	1.301620	97.026001	71.900002	
0.010000	0.098916	1.316029	97.287994	71.769997	
0.010000	0.091481	1.336426	97.439995	71.669998	
0.010000	0.086260	1.352719	97.652000	71.879997	
0.010000	0.081945	1.363090	97.818001	71.909996	
0.010000	0.079256	1.379477	97.874001	71.860001	
0.010000	0.076045	1.392965	97.947998	71.709999	
0.010000	0.072165	1.410039	98.112000	71.519997	
0.010000	0.067069	1.404162	98.264000	71.830002	
0.010000	0.065953	1.421758	98.320000	71.570000	
0.010000	0.062125	1.445684	98.397995	71.680000	
0.010000	0.060231	1.455246	98.507996	71.669998	
0.010000	0.053319	1.459185	98.727997	71.799995	
0.010000	0.055435	1.478756	98.593994	71.769997	
0.010000	0.051537	1.467735	98.773994	71.979996	
0.010000	0.049093	1.487429	98.811996	71.459999	
0.010000	0.047901	1.508450	98.863998	71.659996	
0.010000	0.046470	1.510270	98.933998	71.599998	
0.010000	0.046019	1.508890	98.951996	71.589996	
0.010000	0.044466	1.519914	98.923996	71.669998	
0.010000	0.041927	1.524166	99.037994	71.559998	
0.010000	0.039523	1.518915	99.079994	71.809998	
0.010000	0.041010	1.527253	99.012001	71.720001	
0.010000	0.038235	1.548446	99.131996	71.589996	
0.010000	0.036865	1.547625	99.208000	71.489998	
0.010000	0.035411	1.566495	99.262001	71.599998	
0.010000	0.034201	1.553750	99.236000	71.180000	
0.010000	0.034554	1.559972	99.229996	71.389999	
0.010000	0.032276	1.569153	99.269997	71.250000	
0.010000	0.033854	1.582307	99.213997	71.259995	
0.010000	0.031363	1.574823	99.363998	71.479996	
0.010000	0.030028	1.592020	99.403999	71.610001	
0.010000	0.031064	1.578127	99.349998	71.519997	
0.001000	0.026469	1.571532	99.463997	71.809998	
0.001000	0.025202	1.570966	99.549995	71.900002	
0.001000	0.023552	1.566554	99.610001	71.759995	
0.001000	0.024171	1.569798	99.582001	71.849998	
0.001000	0.023312	1.575881	99.573997	71.759995	
0.001000	0.021887	1.577089	99.687996	71.729996	
0.001000	0.022595	1.563767	99.591995	72.009995	
0.001000	0.021870	1.568858	99.657997	71.909996	
0.001000	0.022724	1.563050	99.610001	71.860001	
0.001000	0.021130	1.571500	99.706001	71.750000	
0.001000	0.022098	1.563842	99.631996	71.909996	
0.001000	0.021474	1.568562	99.663994	72.009995	
0.001000	0.021161	1.565741	99.653999	71.839996	
0.001000	0.020792	1.571469	99.657997	71.849998	
0.001000	0.021107	1.568897	99.680000	72.019997	
0.001000	0.021494	1.567779	99.652000	71.769997	
0.001000	0.020214	1.565304	99.673996	71.799995	
0.001000	0.019926	1.570213	99.695999	71.769997	
0.001000	0.020367	1.573120	99.655998	71.680000	
0.001000	0.020049	1.569816	99.697998	71.849998	
0.001000	0.020246	1.574874	99.709999	71.669998	
0.001000	0.019539	1.573505	99.701996	71.869995	
0.001000	0.019615	1.575585	99.697998	71.919998	
0.001000	0.019522	1.575744	99.708000	71.930000	
0.001000	0.019062	1.572025	99.736000	71.979996	
0.001000	0.019253	1.578278	99.708000	71.809998	
0.001000	0.019312	1.583185	99.722000	71.750000	
